yearstart,locationdesc,class,question,data_value,sample_size
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.8,1367.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.8,757.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,861.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.1,785.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,1125.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,16.3,356.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,58.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.2,598.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,865.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.0,1288.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,1676.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,2521.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.9,61.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.4,1812.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.8,1297.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,4723.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.8,2402.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,115.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.5,1112.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.6,1153.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,2581.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,40.1,1878.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.8,5042.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,1925.0
2011,Alabama,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.0,7304.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.2,377.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.2,224.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,397.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,524.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.9,1109.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.8,212.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.3,128.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.5,451.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.5,562.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,735.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.4,776.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.3,600.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,477.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.1,1150.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.7,434.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.7,1716.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.1,981.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.5,84.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.6,271.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,245.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.0,1620.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.9,2425.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,63.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,954.0
2011,Alaska,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,3336.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,1057.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.5,654.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.7,834.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,830.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.7,1179.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,18.7,240.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.8,82.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,471.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,655.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,963.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,1346.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.6,2475.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.2,270.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,13.0,64.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,17.4,2050.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,19.6,836.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,3676.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.2,1655.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,996.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.1,760.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.2,536.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.4,2474.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.8,103.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.2,4499.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.9,1898.0
2011,Arizona,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,6150.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.4,860.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.2,524.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.7,564.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.6,528.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,718.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.0,136.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.4,80.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.3,295.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.9,430.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,742.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.9,1082.0
2011,Arkansas,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.1,1842.0
